Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic_Regression,0.8543013426156141,0.913242286235876,0.7497995188452286,0.622503328894807,0.6802473626773372,0.5912120831753221
Decision_Tree,0.8150174042764794,0.7531169358239629,0.6281540504648074,0.62982689747004,0.6289893617021277,0.5057844397079366
kNN,0.8264545002486325,0.8520607115180201,0.6681448632668144,0.6018641810918774,0.6332749562171629,0.5212291730813082
Naive_Bayes,0.5624067628045748,0.7885595634864542,0.3583872573419612,0.9587217043941412,0.5217391304347826,0.3573372443869732
Random_Forest,0.8572849328692193,0.9111472351585365,0.7494163424124514,0.6411451398135819,0.6910656620021528,0.6020883665008655
